epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,53.9324,2.0904,4.7729,0.7274,1.79223,0.05863,35.575,0.19611,0.32381,0.09918,0.01431,0.70889,0.5619,0.61078,0.11054,3.69871,3.51574,0.54538,2.01327,0.24535,0,0.00327273,0.00327273,0.0705455
2,76.8461,1.86739,3.50409,0.7125,1.11473,0.05142,23.2177,0.298,0.58095,0.25447,0.04515,0.52887,0.6381,0.51528,0.09155,3.09896,3.65034,0.29751,4.04908,0.1863,0,0.00658426,0.00658426,0.0405237
3,100.181,1.82568,2.83637,0.69589,1.02238,0.05028,21.3339,0.18182,0.27619,0.10922,0.02067,0.22435,0.18095,0.09991,0.01157,3.31615,4.03851,0.7479,2.33447,0.14957,0,0.00987379,0.00987379,0.0104799
4,123.581,1.74808,2.55069,0.67419,0.99467,0.04769,20.6836,0.56451,0.77143,0.62744,0.16739,0.29855,0.4381,0.3041,0.03362,2.60816,4.11823,1.15714,1.80382,0.13547,0,0.009901,0.009901,0.009901
5,147.697,1.669,2.31799,0.65287,0.89318,0.04552,20.1174,0.66457,0.8491,0.79233,0.17508,0.59181,0.6381,0.54792,0.06799,2.64949,3.71234,0.82751,1.56066,0.14328,0,0.009868,0.009868,0.009868
6,169.504,1.59851,2.40862,0.64649,0.8894,0.04383,20.2061,0.61626,0.75238,0.70291,0.23042,0.29802,0.32381,0.18846,0.02198,2.30146,4.07994,0.94888,1.78471,0.11697,0,0.009835,0.009835,0.009835
7,193.68,1.53649,2.37034,0.6399,0.8913,0.04111,19.9684,0.8259,0.81322,0.90012,0.54816,0.69816,0.65714,0.6948,0.08397,1.39845,3.69662,0.88034,0.94843,0.06205,0,0.009802,0.009802,0.009802
8,217.506,1.48868,2.25893,0.6393,0.84605,0.03947,19.4512,0.73138,0.70015,0.76342,0.38467,0.70633,0.6414,0.6898,0.07585,1.8877,4.12304,0.62273,1.7038,0.08146,0,0.009769,0.009769,0.009769
9,240.364,1.44405,2.19006,0.63454,0.80575,0.03895,19.2446,0.9159,0.86667,0.93473,0.49348,0.81504,0.7619,0.80734,0.09588,1.72291,3.87956,0.94576,0.7804,0.08209,0,0.009736,0.009736,0.009736
10,263.035,1.38363,2.28823,0.62978,0.77574,0.0378,19.3603,0.78161,0.71581,0.84104,0.38478,0.68723,0.68571,0.70102,0.07659,1.82253,4.36171,0.77602,1.32102,0.08665,0,0.009703,0.009703,0.009703
11,286.461,1.40494,2.01537,0.62895,0.74492,0.03751,18.3255,0.81201,0.93333,0.92342,0.63191,0.72735,0.8381,0.80352,0.08794,1.18244,4.08946,0.81178,1.08211,0.05047,0,0.00967,0.00967,0.00967
12,310.23,1.32241,2.10016,0.61155,0.71449,0.03551,18.3398,0.8315,0.8,0.92183,0.55892,0.75735,0.72381,0.78671,0.09988,1.35521,3.66208,0.62975,1.00578,0.05848,0,0.009637,0.009637,0.009637
13,332.449,1.34899,2.11747,0.60642,0.75302,0.03585,18.4173,0.85338,0.88692,0.94208,0.54165,0.78462,0.79798,0.81989,0.09778,1.65927,3.94426,0.9147,0.85465,0.07363,0,0.009604,0.009604,0.009604
14,355.643,1.35007,2.1119,0.58297,0.70473,0.0356,17.9215,0.87549,0.93757,0.94147,0.53279,0.88009,0.91429,0.93127,0.11372,1.64679,3.87405,0.57646,0.86106,0.07205,0,0.009571,0.009571,0.009571
15,379.187,1.33652,2.06815,0.58027,0.7151,0.03513,17.9611,0.89424,0.91429,0.95945,0.56435,0.85523,0.84399,0.8943,0.09598,1.44476,4.35844,0.64139,0.68573,0.06487,0,0.009538,0.009538,0.009538
16,401.614,1.3195,2.17286,0.57167,0.70265,0.0351,17.762,0.92172,0.87619,0.95489,0.69075,0.91526,0.86667,0.93644,0.13016,1.13037,3.80388,0.77039,0.59117,0.04736,0,0.009505,0.009505,0.009505
17,424.671,1.28365,1.92537,0.57442,0.64804,0.03333,17.3348,0.90903,0.91429,0.94442,0.63046,0.81124,0.82857,0.85182,0.09905,1.28043,4.00227,1.06298,0.80556,0.05619,0,0.009472,0.009472,0.009472
18,448.024,1.252,2.01568,0.56633,0.64466,0.0332,17.4883,0.90181,0.87468,0.94355,0.65069,0.88176,0.85234,0.90615,0.10961,1.23845,4.00146,0.88801,0.70643,0.05257,0,0.009439,0.009439,0.009439
19,471.322,1.20809,2.08512,0.55456,0.64194,0.03092,17.1116,0.92137,0.92381,0.97769,0.76158,0.85238,0.85714,0.88608,0.10294,0.88851,3.99628,0.69363,0.50639,0.03732,0,0.009406,0.009406,0.009406
20,493.453,1.22256,2.02801,0.5397,0.65588,0.0315,17.2136,0.87563,0.87171,0.95212,0.68203,0.85439,0.82857,0.92095,0.11559,1.17607,3.98059,0.80726,0.62087,0.05049,0,0.009373,0.009373,0.009373
21,517.121,1.24188,2.09421,0.54243,0.66951,0.03245,17.7499,0.88065,0.91429,0.96073,0.70883,0.88072,0.84383,0.93137,0.1054,1.00816,4.14536,0.69622,0.55389,0.04256,0,0.00934,0.00934,0.00934
22,540.96,1.20773,2.03326,0.53896,0.63166,0.03154,16.994,0.87188,0.97214,0.97402,0.73414,0.86364,0.96509,0.96975,0.11511,0.95126,3.93311,0.63896,0.48016,0.04016,0,0.009307,0.009307,0.009307
23,563.465,1.16153,2.04948,0.53249,0.59195,0.03048,16.7944,0.91842,0.94286,0.96978,0.71252,0.90893,0.93333,0.95799,0.10754,1.06178,4.10873,0.83265,0.46101,0.04456,0,0.009274,0.009274,0.009274
