epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3758,1.2247,4.68296,0.73283,1.17291,1.71914,0.94676,0.93333,0.97755,0.64874,0.26468,0.2381,0.08072,0.01113,1.27362,4.50127,0.88412,1.28685,2.59157,0.000654545,0.000654545,0.000654545
2,42.7512,0.858,2.38684,0.71331,0.59513,1.37813,0.96722,0.9619,0.99203,0.72218,0.94754,0.94286,0.96262,0.45175,0.98137,2.32038,0.76734,1.02318,2.08966,0.00129505,0.00129505,0.00129505
3,60.0072,0.83298,1.44497,0.61239,0.56278,1.34995,0.48511,0.88571,0.51783,0.32037,0.48275,0.86667,0.51745,0.31556,1.08311,1.68118,0.62599,1.39342,2.04955,0.00190916,0.00190916,0.00190916
4,76.6565,0.81497,1.01516,0.52851,0.55751,1.3472,1,0.9988,0.995,0.73327,0.97139,0.97023,0.95992,0.80113,1.01074,0.77364,0.65103,0.58341,2.12404,0.0018812,0.0018812,0.0018812
5,93.7638,0.78264,0.91326,0.4751,0.52757,1.31999,0.95719,0.95238,0.98744,0.77657,0.9473,0.94286,0.98514,0.73859,0.81353,0.81623,0.52872,0.62661,1.71771,0.0018416,0.0018416,0.0018416
6,110.172,0.77069,0.84189,0.43565,0.53695,1.30433,0.99397,0.98095,0.99437,0.80758,0.98432,0.97143,0.9837,0.86331,0.75257,0.68276,0.5746,0.48263,1.63051,0.001802,0.001802,0.001802
7,127.023,0.73521,0.68958,0.39574,0.51622,1.26992,0.99724,0.98095,0.99404,0.80822,0.99038,0.98038,0.99222,0.82804,0.71659,0.65995,0.49006,0.49352,1.58335,0.0017624,0.0017624,0.0017624
8,144.215,0.70046,0.64239,0.35552,0.47974,1.24559,0.96237,0.97421,0.99032,0.78158,0.98042,0.95382,0.98037,0.85851,0.79235,0.76404,0.30023,0.55389,1.61657,0.0017228,0.0017228,0.0017228
9,161.188,0.7087,0.6387,0.33933,0.47948,1.25267,0.99616,1,0.995,0.77743,0.98668,0.99048,0.9911,0.87197,0.83124,0.58952,0.42681,0.42886,1.68874,0.0016832,0.0016832,0.0016832
10,177.935,0.67292,0.61362,0.30844,0.45684,1.23979,0.99091,1,0.995,0.82446,0.98111,0.99048,0.99129,0.83447,0.70553,0.66212,0.34575,0.37404,1.53839,0.0016436,0.0016436,0.0016436
11,195.207,0.66039,0.53848,0.28682,0.45156,1.22285,0.99546,0.99048,0.995,0.80314,0.98589,0.98095,0.99167,0.82755,0.72181,0.65753,0.2264,0.44928,1.55334,0.001604,0.001604,0.001604
12,212.424,0.63737,0.48714,0.25533,0.42615,1.20584,0.98815,1,0.99491,0.8411,0.9716,0.97759,0.97957,0.8803,0.62498,0.55225,0.211,0.42588,1.42278,0.0015644,0.0015644,0.0015644
13,230.534,0.62994,0.45141,0.24358,0.41714,1.19311,0.96971,0.97143,0.99341,0.81523,1,0.97065,0.985,0.88766,0.73432,0.50314,0.14338,0.43403,1.54194,0.0015248,0.0015248,0.0015248
14,247.989,0.6248,0.46824,0.22608,0.40114,1.18457,0.9836,1,0.99491,0.80199,0.98072,0.9691,0.98089,0.885,0.77979,0.43463,0.20357,0.48209,1.55753,0.0014852,0.0014852,0.0014852
15,264.698,0.60926,0.46372,0.22113,0.40169,1.17919,0.98965,0.98095,0.99481,0.84918,0.98132,0.97143,0.98444,0.92521,0.63791,0.46594,0.50846,0.36195,1.39878,0.0014456,0.0014456,0.0014456
16,281.943,0.59775,0.42168,0.19906,0.39931,1.17153,0.99809,1,0.995,0.85388,0.97908,0.98095,0.98367,0.91521,0.59641,0.44571,0.33472,0.36039,1.37085,0.001406,0.001406,0.001406
17,298.468,0.58518,0.42111,0.19339,0.3941,1.16053,0.99901,1,0.995,0.85117,0.99901,1,0.995,0.93248,0.65757,0.39177,0.29092,0.39021,1.40104,0.0013664,0.0013664,0.0013664
18,315.926,0.58792,0.37876,0.18088,0.38535,1.17179,0.99912,1,0.995,0.86233,0.99912,1,0.995,0.90221,0.6318,0.4378,0.34669,0.37427,1.3854,0.0013268,0.0013268,0.0013268
19,332.755,0.59418,0.36134,0.17405,0.38158,1.16033,0.99927,1,0.995,0.84399,0.99927,1,0.995,0.91929,0.64328,0.31708,0.13544,0.33478,1.42097,0.0012872,0.0012872,0.0012872
20,349.168,0.56715,0.35799,0.16924,0.36795,1.13734,0.99703,1,0.995,0.85578,0.98815,0.99048,0.995,0.92307,0.60732,0.34805,0.21779,0.35083,1.33855,0.0012476,0.0012476,0.0012476
21,365.277,0.54407,0.35972,0.17025,0.36416,1.13323,0.9987,1,0.995,0.85422,0.99037,0.97923,0.98462,0.92729,0.58747,0.37334,0.23014,0.32246,1.32314,0.001208,0.001208,0.001208
22,382.144,0.54364,0.36238,0.15555,0.35702,1.13466,0.99038,1,0.995,0.85504,0.97151,0.98095,0.98413,0.93942,0.58459,0.34937,0.17391,0.3542,1.34825,0.0011684,0.0011684,0.0011684
