epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,110.559,1.52354,2.00256,0.71987,1.0846,0.0344,18.2767,0.70749,0.69367,0.74728,0.30129,0.81713,0.82623,0.90075,0.6781,2.36211,0.94002,0.82097,1.78484,0.11034,0,0.00331111,0.00331111,0.0702
2,183.502,1.36959,0.6459,0.6568,0.74025,0.03024,9.82206,0.62777,0.72075,0.69552,0.3953,0.70216,0.81509,0.80084,0.63685,1.56005,0.6114,0.84815,1.88462,0.05915,0,0.00651288,0.00651288,0.0400684
3,259.289,1.21798,0.52019,0.6348,0.70811,0.02683,8.24569,0.70827,0.7434,0.79571,0.52631,0.74225,0.7824,0.84648,0.73936,1.22265,0.41206,0.88393,1.22258,0.04595,0,0.00958266,0.00958266,0.00980488
4,336.51,1.21501,0.42063,0.63959,0.68739,0.02703,7.23455,0.83157,0.83396,0.92049,0.59885,0.86179,0.87059,0.9438,0.87724,1.2763,0.31123,0.85506,0.87474,0.04872,0,0.009406,0.009406,0.009406
5,413.739,1.13442,0.36743,0.62395,0.62054,0.02503,6.73536,0.84838,0.83774,0.91342,0.66994,0.8718,0.8566,0.93354,0.89075,1.02022,0.2341,0.90454,1.11415,0.03535,0,0.009208,0.009208,0.009208
6,490.037,1.09453,0.28474,0.60983,0.58007,0.02363,5.56606,0.84499,0.83019,0.91078,0.64527,0.83878,0.84421,0.92344,0.86927,1.04088,0.28095,0.95755,0.80398,0.03883,0,0.00901,0.00901,0.00901
7,566.06,0.98847,0.28682,0.59367,0.56115,0.0212,5.06956,0.91062,0.91698,0.97468,0.76779,0.92164,0.91321,0.97533,0.96207,0.82911,0.12492,0.77887,0.66212,0.02994,0,0.008812,0.008812,0.008812
8,643.323,0.92892,0.2405,0.59303,0.51823,0.01972,4.63091,0.90905,0.90525,0.95286,0.75897,0.92636,0.90187,0.97226,0.94418,0.82053,0.1547,0.7792,0.45974,0.02915,0,0.008614,0.008614,0.008614
9,719.025,0.89321,0.20656,0.57208,0.50144,0.01859,4.0443,0.8492,0.8566,0.92928,0.73473,0.8492,0.8566,0.93021,0.89963,0.84155,0.15753,0.94121,0.61383,0.03007,0,0.008416,0.008416,0.008416
10,793.547,0.90034,0.2197,0.55481,0.49565,0.01912,4.11099,0.95406,0.94037,0.97732,0.78457,0.96164,0.94594,0.98611,0.96896,0.82136,0.1086,0.89945,0.39871,0.03014,0,0.008218,0.008218,0.008218
11,868.776,0.84443,0.19853,0.55116,0.47238,0.0179,3.4972,0.95415,0.94717,0.98398,0.7789,0.95415,0.94717,0.98524,0.97409,0.82611,0.09318,0.98029,0.34066,0.02847,0,0.00802,0.00802,0.00802
12,944.581,0.8381,0.18259,0.53717,0.45351,0.01756,2.9954,0.95707,0.95472,0.98765,0.83211,0.9621,0.95791,0.98923,0.9798,0.69607,0.09821,0.97792,0.28476,0.0245,0,0.007822,0.007822,0.007822
13,1020.46,0.81758,0.18091,0.53937,0.44812,0.01764,3.05669,0.96251,0.96879,0.98467,0.85225,0.96251,0.96879,0.98514,0.9775,0.61473,0.10017,1.00573,0.3254,0.02207,0,0.007624,0.007624,0.007624
14,1095.15,0.78107,0.17801,0.51754,0.43683,0.0165,2.45618,0.94097,0.96244,0.98427,0.76982,0.94097,0.96244,0.9854,0.97894,0.85528,0.07786,0.82201,0.35042,0.03241,0,0.007426,0.007426,0.007426
15,1168.67,0.79412,0.15895,0.50822,0.42524,0.0168,2.34273,0.95524,0.93585,0.98609,0.85393,0.95909,0.93962,0.98712,0.97614,0.61379,0.09928,0.85676,0.31194,0.02168,0,0.007228,0.007228,0.007228
16,1244.47,0.79746,0.13985,0.49157,0.42344,0.01708,2.25837,0.9558,0.97915,0.98915,0.81289,0.9558,0.97915,0.99094,0.9839,0.71534,0.07141,0.81208,0.34799,0.02553,0,0.00703,0.00703,0.00703
