epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,532.482,1.37382,0.87955,0.68692,0.73185,0.03321,12.6911,0.88854,0.86483,0.95225,0.45414,0.88663,0.88545,0.96105,0.85656,1.91108,0.62484,0.83316,0.85637,0.08117,0,0.0006656,0.0006656,0.0673856
2,1018.23,1.2596,0.29363,0.6025,0.61474,0.0303,7.32074,0.95532,0.92669,0.98111,0.72725,0.96004,0.93127,0.98501,0.96194,1.01558,0.13609,0.60415,0.43547,0.03649,0,0.00131578,0.00131578,0.0347024
3,1499.46,1.1937,0.24061,0.53986,0.596,0.02834,5.75422,0.91663,0.96976,0.98193,0.71482,0.91663,0.96976,0.98193,0.97501,1.09191,0.07567,0.8257,0.57218,0.0406,0,0.00194946,0.00194946,0.00200279
4,1982.81,1.12418,0.19388,0.48311,0.56481,0.02661,4.81861,0.97368,0.97465,0.99231,0.73129,0.97368,0.97465,0.99231,0.98676,1.07038,0.07568,0.72596,0.50168,0.04059,0,0.00192575,0.00192575,0.00192575
5,2468.42,1.09014,0.15804,0.43109,0.54887,0.02565,3.85894,0.97516,0.94417,0.98954,0.81171,0.97516,0.94417,0.98985,0.98514,0.7466,0.03872,0.57564,0.44246,0.02781,0,0.001901,0.001901,0.001901
6,2953.85,1.05146,0.13968,0.39009,0.52305,0.02458,3.23474,0.97066,0.98855,0.98971,0.77835,0.97066,0.98855,0.98971,0.98757,0.8546,0.03384,0.54909,0.33888,0.03047,0,0.00187625,0.00187625,0.00187625
7,3434.78,1.03426,0.13001,0.35607,0.52212,0.02409,2.71278,0.9617,0.95762,0.98759,0.81425,0.964,0.95991,0.98812,0.98548,0.7432,0.04648,0.62802,0.33137,0.02581,0,0.0018515,0.0018515,0.0018515
8,3921,0.99883,0.10849,0.32508,0.50459,0.02312,2.03762,0.9816,0.95533,0.98895,0.81067,0.9816,0.95533,0.98895,0.988,0.7866,0.02084,0.5186,0.34961,0.02755,0,0.00182675,0.00182675,0.00182675
9,4407.8,0.98123,0.10179,0.29182,0.47987,0.02269,1.68732,0.99071,0.97728,0.99409,0.76135,0.99071,0.97728,0.99409,0.99309,0.90489,0.02147,0.45236,0.33854,0.03273,0,0.001802,0.001802,0.001802
10,4891.35,1.01318,0.11594,0.26981,0.49068,0.02354,1.84565,0.97162,0.95189,0.99106,0.81864,0.97162,0.95189,0.99106,0.99002,0.7455,0.02488,0.32661,0.28466,0.02679,0,0.00177725,0.00177725,0.00177725
11,5378.1,0.9848,0.10013,0.24726,0.48351,0.02258,1.47389,0.98281,0.95647,0.9923,0.80304,0.98281,0.95647,0.9923,0.99069,0.83061,0.02482,0.30592,0.36606,0.02998,0,0.0017525,0.0017525,0.0017525
12,5858.02,0.97997,0.10201,0.22473,0.48731,0.02264,1.42755,0.96362,0.97365,0.99073,0.78927,0.96475,0.9748,0.99191,0.99041,0.82705,0.03984,0.17997,0.29001,0.03032,0,0.00172775,0.00172775,0.00172775
13,6341.51,0.98182,0.10697,0.21341,0.48919,0.02262,1.43725,0.98398,0.98473,0.9944,0.83171,0.98398,0.98473,0.9944,0.99428,0.68273,0.01471,0.48323,0.22728,0.02467,0,0.001703,0.001703,0.001703
14,6828.25,0.97674,0.10081,0.19964,0.49396,0.02256,1.49945,0.98617,0.98167,0.99433,0.81931,0.98617,0.98167,0.99433,0.99365,0.74045,0.01668,0.21685,0.24822,0.02673,0,0.00167825,0.00167825,0.00167825
15,7309.11,0.96985,0.08779,0.19198,0.47248,0.02225,1.11992,0.98403,0.98841,0.99318,0.8264,0.98403,0.98841,0.99318,0.99138,0.7152,0.01718,0.19952,0.25822,0.02633,0,0.0016535,0.0016535,0.0016535
16,7793.97,0.96258,0.0932,0.17713,0.47637,0.02211,1.14312,0.96105,0.98929,0.99301,0.82737,0.96328,0.99158,0.9938,0.99203,0.73393,0.03211,0.2226,0.24398,0.0254,0,0.00162875,0.00162875,0.00162875
17,8280.88,0.95826,0.09387,0.17508,0.48498,0.02208,1.00791,0.9851,0.98474,0.9931,0.74149,0.9851,0.98474,0.9931,0.99299,1.04578,0.01492,0.33364,0.3003,0.03752,0,0.001604,0.001604,0.001604
18,8768.17,0.96072,0.08443,0.16712,0.46702,0.02193,1.10339,0.98054,0.98053,0.99248,0.79553,0.98054,0.98053,0.99248,0.99215,0.85205,0.02355,0.17775,0.27329,0.03162,0,0.00157925,0.00157925,0.00157925
19,9255.62,1.19136,0.09413,0.17533,0.63647,0.02909,1.3081,0.51443,0.67583,0.62013,0.4245,0.51443,0.67583,0.62072,0.60826,1.08925,0.09528,0.65028,1.36526,0.03891,0,0.0015545,0.0015545,0.0015545
20,9737.37,1.1407,0.10262,0.18933,0.63917,0.02625,1.15808,0.9775,0.98167,0.99287,0.81646,0.97864,0.98282,0.99376,0.99293,0.73712,0.02279,0.21743,0.27613,0.02556,0,0.00152975,0.00152975,0.00152975
21,10223.5,0.98519,0.08139,0.14897,0.48034,0.02235,0.88785,0.98297,0.98855,0.99431,0.86885,0.98297,0.98855,0.99431,0.99422,0.58961,0.01412,0.20435,0.21204,0.0196,0,0.001505,0.001505,0.001505
22,10712.1,0.96949,0.08229,0.14412,0.46924,0.02212,0.83297,0.97406,0.98282,0.99317,0.81594,0.97406,0.98282,0.99317,0.99291,0.76464,0.01625,0.09286,0.26309,0.02627,0,0.00148025,0.00148025,0.00148025
23,11197,1.12279,0.09276,0.14554,0.55077,0.02582,0.96889,0.92959,0.97938,0.97137,0.69569,0.93068,0.98053,0.97175,0.97127,1.12892,0.0175,0.13217,0.40233,0.04216,0,0.0014555,0.0014555,0.0014555
24,11686.7,0.99113,0.09225,0.13667,0.48407,0.02274,1.06847,0.98074,0.9874,0.99438,0.8536,0.98074,0.9874,0.99438,0.99428,0.64364,0.01417,0.16883,0.23835,0.0211,0,0.00143075,0.00143075,0.00143075
25,12166.8,1.0405,0.07436,0.13558,0.48536,0.02396,0.74223,0.98388,0.97883,0.99352,0.75972,0.98388,0.97883,0.99352,0.99325,0.96663,0.0127,0.26105,0.31536,0.0362,0,0.001406,0.001406,0.001406
26,12650.7,1.20822,0.09047,0.14008,0.56773,0.02836,0.76872,0.95213,0.97022,0.98493,0.73422,0.95213,0.97022,0.98493,0.98425,0.97124,0.02088,0.13385,0.38833,0.03382,0,0.00138125,0.00138125,0.00138125
27,13136.7,1.10689,0.07159,0.12543,0.50612,0.02554,0.77285,0.98595,0.97595,0.99376,0.73852,0.98595,0.97595,0.99376,0.99365,1.02968,0.01264,0.08539,0.31577,0.03822,0,0.0013565,0.0013565,0.0013565
28,13619.8,1.11851,0.09147,0.13447,0.57014,0.02593,0.75651,0.97987,0.9874,0.99401,0.79332,0.981,0.98855,0.99408,0.994,0.85343,0.01047,0.06421,0.26211,0.03088,0,0.00133175,0.00133175,0.00133175
29,14097.4,1.12458,0.08153,0.12365,0.54816,0.02582,0.56775,0.97401,0.97251,0.99291,0.82379,0.97401,0.97251,0.99291,0.99205,0.74015,0.01301,0.12781,0.26477,0.0265,0,0.001307,0.001307,0.001307
30,14575.2,1.00635,0.09117,0.12176,0.50411,0.02328,0.72682,0.98521,0.99176,0.99436,0.81174,0.98521,0.99176,0.99436,0.99375,0.786,0.00984,0.11112,0.23982,0.02731,0,0.00128225,0.00128225,0.00128225
31,15053.1,1.0266,0.07302,0.11405,0.49668,0.02354,0.66642,0.95884,0.98722,0.99183,0.81783,0.9651,0.98196,0.99187,0.99155,0.76059,0.00926,0.05525,0.26011,0.02555,0,0.0012575,0.0012575,0.0012575
32,15530,1.02624,0.07661,0.11161,0.4912,0.02331,0.56465,0.977,0.98396,0.99358,0.79082,0.977,0.98396,0.99358,0.99308,0.86355,0.01139,0.04679,0.27171,0.03103,0,0.00123275,0.00123275,0.00123275
33,16010.7,1.05597,0.0723,0.11216,0.51309,0.02427,0.52024,0.98735,0.98356,0.99447,0.84526,0.98735,0.98356,0.99447,0.99412,0.66803,0.01074,0.06569,0.22338,0.02345,0,0.001208,0.001208,0.001208
34,16492.2,1.02587,0.06544,0.10028,0.48533,0.02366,0.52594,0.97068,0.98599,0.98916,0.83529,0.97068,0.98599,0.98916,0.98912,0.71415,0.01193,0.09847,0.24532,0.02485,0,0.00118325,0.00118325,0.00118325
35,16975.1,0.99724,0.06263,0.09864,0.46738,0.02274,0.53292,0.98,0.9874,0.99419,0.82789,0.98,0.9874,0.99419,0.99391,0.74756,0.01912,0.06844,0.23899,0.02513,0,0.0011585,0.0011585,0.0011585
36,17456.1,1.00979,0.07091,0.10037,0.48925,0.02321,0.50213,0.98149,0.98511,0.99432,0.81648,0.98149,0.98511,0.99432,0.99422,0.77484,0.00993,0.04894,0.25155,0.0268,0,0.00113375,0.00113375,0.00113375
