epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,59.8508,0.8759,0.06792,0.12123,0.39965,0.01887,0.03263,0.98756,0.96207,0.98933,0.88004,0.99378,0.96803,0.99354,0.9892,0.47822,0.03887,0.05806,0.18762,0.01561,0,0.000654545,0.000654545,0.000654545
2,96.2459,0.8748,0.07388,0.10106,0.38649,0.01868,0.30702,0.98605,0.98788,0.99384,0.7897,0.98605,0.98788,0.99384,0.99331,0.8833,0.02375,0.12071,0.25257,0.0321,0,0.00126889,0.00126889,0.00126889
3,133.335,1.27917,0.09771,0.11736,0.47008,0.02892,0.4362,0.98357,0.97576,0.98649,0.72701,0.98357,0.97576,0.98649,0.98649,1.09231,0.01312,0.0395,0.292,0.03823,0,0.00183044,0.00183044,0.00183044
4,170.897,0.98468,0.09125,0.11291,0.41683,0.02128,0.97484,0.98166,0.98788,0.99439,0.84899,0.98166,0.98788,0.99439,0.99439,0.64871,0.02577,0.111,0.2067,0.02084,0,0.0017624,0.0017624,0.0017624
5,207,0.8576,0.07369,0.11166,0.37971,0.01818,1.08689,0.99287,0.99394,0.99494,0.81269,0.99287,0.99394,0.99494,0.99494,0.72034,0.02792,0.13633,0.20696,0.02538,0,0.0016832,0.0016832,0.0016832
6,242.503,0.90858,0.07424,0.1134,0.38587,0.01976,0.99659,0.96851,0.99394,0.9931,0.70357,0.97441,1,0.99458,0.99208,1.12386,0.03332,0.17195,0.38928,0.03927,0,0.001604,0.001604,0.001604
7,278.338,1.3072,0.07668,0.13651,0.52949,0.02937,0.61695,0.97016,0.98534,0.99346,0.67852,0.97016,0.98534,0.99346,0.98847,1.17596,0.05128,0.19636,0.30626,0.04097,0,0.0015248,0.0015248,0.0015248
8,314.708,1.20417,0.08183,0.12474,0.514,0.02622,0.474,0.97378,0.99394,0.99352,0.73007,0.97972,1,0.9947,0.99399,0.99118,0.01576,0.09332,0.33629,0.03329,0,0.0014456,0.0014456,0.0014456
9,349.5,1.08986,0.0656,0.11924,0.45166,0.02424,0.25766,0.99393,0.99264,0.99421,0.69885,0.99393,0.99264,0.99421,0.99421,1.18658,0.01538,0.109,0.29418,0.04053,0,0.0013664,0.0013664,0.0013664
10,384.626,0.90762,0.07872,0.10604,0.4042,0.02002,0.34553,0.99388,0.98488,0.9947,0.79449,0.99388,0.98488,0.9947,0.9947,0.79901,0.01511,0.13481,0.21821,0.02767,0,0.0012872,0.0012872,0.0012872
11,420.566,0.84121,0.06618,0.10473,0.37473,0.01808,0.20225,0.97604,0.98741,0.99333,0.8442,0.97604,0.98741,0.99333,0.99312,0.63392,0.02134,0.11496,0.19822,0.0212,0,0.001208,0.001208,0.001208
12,456.128,0.8519,0.08573,0.10363,0.37387,0.01839,0.28776,0.98787,0.98685,0.99422,0.66918,0.98787,0.98685,0.99422,0.99422,1.2491,0.02047,0.10508,0.33491,0.04341,0,0.0011288,0.0011288,0.0011288
13,490.884,0.99949,0.07375,0.09638,0.42032,0.02212,0.27739,0.97599,0.99394,0.99378,0.81085,0.98194,1,0.99488,0.994,0.76646,0.02121,0.11763,0.26038,0.02683,0,0.0010496,0.0010496,0.0010496
14,526.194,0.93939,0.06619,0.09092,0.41859,0.02062,0.25213,0.98732,0.99394,0.99301,0.71694,0.99397,0.99934,0.99434,0.99173,1.04089,0.02194,0.12261,0.29584,0.03912,0,0.0009704,0.0009704,0.0009704
15,561.424,0.93054,0.07393,0.08844,0.39923,0.02051,0.15707,0.98677,0.98182,0.99187,0.82457,0.99289,0.98788,0.99464,0.99135,0.71451,0.03831,0.05688,0.20224,0.02423,0,0.0008912,0.0008912,0.0008912
16,596.002,0.88203,0.06072,0.08117,0.39494,0.01881,0.2101,0.96986,0.97504,0.97871,0.82797,0.97589,0.9811,0.99348,0.98032,0.66769,0.04515,0.09254,0.22952,0.02363,0,0.000812,0.000812,0.000812
17,630.775,0.84619,0.09723,0.09231,0.38131,0.01788,0.28854,0.97582,0.98788,0.98678,0.76894,0.9818,0.99394,0.99439,0.98731,0.90153,0.03838,0.0617,0.25403,0.0293,0,0.0007328,0.0007328,0.0007328
18,665.636,0.85686,0.07119,0.08099,0.38554,0.01821,1.13231,0.9821,0.99778,0.99458,0.8304,0.9821,0.99778,0.99458,0.99456,0.69205,0.01428,0.06103,0.20415,0.02506,0,0.0006536,0.0006536,0.0006536
19,701.262,0.81337,0.07888,0.08313,0.36667,0.01712,0.26503,0.988,0.99759,0.99451,0.79071,0.988,0.99759,0.99451,0.99451,0.86447,0.01043,0.05627,0.23784,0.02911,0,0.0005744,0.0005744,0.0005744
20,735.916,0.81747,0.09476,0.08435,0.36213,0.01722,0.18313,0.99396,0.99787,0.99476,0.81567,0.99396,0.99787,0.99476,0.99476,0.75427,0.00813,0.0857,0.21209,0.02705,0,0.0004952,0.0004952,0.0004952
21,773.221,0.61823,0.02748,0.10077,0.29922,0.02052,0.47044,0.97355,0.99394,0.98983,0.83714,0.97957,1,0.99422,0.99071,0.66785,0.02941,0.13139,0.19815,0.0222,0,0.000416,0.000416,0.000416
22,808.487,0.5796,0.01258,0.07739,0.2152,0.0188,0.15672,0.97366,0.98788,0.99203,0.86877,0.97984,0.99394,0.99402,0.99243,0.56253,0.02795,0.0303,0.17696,0.01828,0,0.0003368,0.0003368,0.0003368
23,843.143,0.54318,0.01643,0.07241,0.18807,0.01765,0.19619,0.98772,0.97466,0.99353,0.87497,0.99386,0.98072,0.99464,0.99375,0.55665,0.02801,0.03517,0.16947,0.01844,0,0.0002576,0.0002576,0.0002576
24,878.075,0.54145,0.01114,0.07825,0.18526,0.01809,0.04274,0.98152,0.9657,0.99259,0.87765,0.98768,0.97176,0.9938,0.99283,0.53103,0.02608,0.03651,0.1764,0.01786,0,0.0001784,0.0001784,0.0001784
25,913.384,0.53769,0.01867,0.05853,0.17535,0.0174,0.03627,0.97389,0.98182,0.99297,0.79878,0.98117,0.98788,0.9941,0.9932,0.79986,0.02437,0.02215,0.24191,0.02788,0,9.92e-05,9.92e-05,9.92e-05
