epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,31.598,1.66644,0.47182,0.16917,0.7494,0.03394,2.21496,0.99682,1,0.995,0.81147,0.99682,1,0.995,0.995,0.79411,0.01041,0.0612,0.20869,0.02355,0,0.000555556,0.000555556,0.000555556
2,35.0113,1.6417,0.29232,0.18854,0.80729,0.03528,1.9277,0.99671,1,0.995,0.79412,0.99671,1,0.995,0.995,0.86263,0.01094,0.05732,0.22017,0.0259,0,0.00116172,0.00116172,0.00116172
3,38.2771,1.6669,0.14821,0.12963,0.56923,0.03761,0,0.99679,1,0.995,0.78234,0.99679,1,0.995,0.995,0.88146,0.01122,0.05615,0.22636,0.02662,0,0.00170189,0.00170189,0.00170189
4,43.2363,1.83411,0.57022,0.18077,0.76887,0.03976,15.4465,1,0.99639,0.995,0.35098,1,0.99639,0.995,0.91713,2.51669,0.36238,0.13601,0.5873,0.08011,0,0.001703,0.001703,0.001703
5,47.0136,1.89007,0.88995,0.21248,0.82623,0.04459,18.6156,0.99563,1,0.995,0.24878,0.99563,1,0.995,0.89802,2.91123,0.40017,0.39912,0.63591,0.09466,0,0.001604,0.001604,0.001604
6,50.9511,1.65787,0.51592,0.25914,0.67132,0.03501,14.0016,0.80782,0.93448,0.93632,0.304,0.85561,0.98805,0.95442,0.94718,2.53956,0.15666,1.0096,0.80175,0.07781,0,0.001505,0.001505,0.001505
7,55.3127,1.49368,0.35507,0.29225,0.64437,0.03128,9.88923,0.79483,0.83333,0.89612,0.3477,0.94228,0.90759,0.9808,0.92071,2.28926,0.16452,1.0842,0.86179,0.06818,0,0.001406,0.001406,0.001406
8,59.9322,1.21502,0.29426,0.36685,0.66992,0.02574,6.64187,0.94687,0.99049,0.98921,0.57772,0.94687,0.99049,0.98921,0.97794,1.60606,0.17977,0.65946,0.60124,0.04831,0,0.001307,0.001307,0.001307
9,63.6076,0.91923,0.19495,0.32422,0.51049,0.0191,5.72083,0.93778,1,0.98342,0.68478,0.93778,1,0.98342,0.97726,1.20772,0.16196,0.38269,0.56429,0.03779,0,0.001208,0.001208,0.001208
10,67.4331,1.09572,0.27311,0.33433,0.60639,0.02366,4.91501,0.94731,0.99885,0.98079,0.8367,0.94731,0.99885,0.98079,0.98079,0.63026,0.11076,0.11685,0.46977,0.02053,0,0.001109,0.001109,0.001109
11,72.9369,1.03754,0.24241,0.26584,0.53335,0.01957,3.81549,0.89063,1,0.99,0.86108,0.89063,1,0.99,0.99,0.58526,0.08399,0.1119,0.41168,0.01896,0,0.00101,0.00101,0.00101
12,76.9982,0.84505,0.18543,0.22738,0.4493,0.01545,2.84336,0.94105,1,0.99237,0.81495,0.94105,1,0.99237,0.99237,0.73011,0.06344,0.12941,0.33328,0.02379,0,0.000911,0.000911,0.000911
13,81.0035,0.86708,0.1506,0.23667,0.50415,0.01782,2.27144,0.94713,0.99545,0.98658,0.81034,0.94713,0.99545,0.98658,0.98658,0.7068,0.05977,0.12565,0.39827,0.02288,0,0.000812,0.000812,0.000812
14,88.0749,0.88499,0.33966,0.24549,0.56555,0.01937,3.95209,0.9432,0.92328,0.98921,0.86582,0.9432,0.92328,0.98921,0.98921,0.55659,0.02874,0.11662,0.41112,0.01739,0,0.000713,0.000713,0.000713
15,92.0485,0.71515,0.14906,0.22353,0.41446,0.01471,2.22568,0.98662,1,0.995,0.87771,0.98662,1,0.995,0.995,0.49165,0.02233,0.0987,0.29018,0.01514,0,0.000614,0.000614,0.000614
16,98.5104,0.71403,0.29544,0.17888,0.44276,0.02012,3.59321,0.94711,0.99511,0.99237,0.91273,0.94711,0.99511,0.99237,0.99237,0.46424,0.01771,0.06089,0.25751,0.01459,0,0.000515,0.000515,0.000515
17,103.671,0.58011,0.06513,0.17997,0.51931,0.01912,2.25809,0.94321,1,0.99237,0.89471,0.94321,1,0.99237,0.99237,0.45637,0.01697,0.05356,0.24596,0.01466,0,0.000416,0.000416,0.000416
18,107.454,0.55966,0.08956,0.18886,0.46294,0.01789,2.59574,0.98575,0.94444,0.99,0.95343,0.98575,0.94444,0.99,0.99,0.37452,0.01766,0.04109,0.23329,0.01194,0,0.000317,0.000317,0.000317
19,111.389,0.60001,0.12788,0.17557,0.40074,0.02132,3.14778,0.99247,0.94444,0.99,0.92856,0.99247,0.94444,0.99,0.99,0.3671,0.0166,0.03773,0.21484,0.01165,0,0.000218,0.000218,0.000218
20,115.629,0.53714,0.05533,0.18009,0.40213,0.01747,2.57055,0.99102,0.94444,0.99237,0.96308,0.99102,0.94444,0.99237,0.99237,0.34799,0.01379,0.03578,0.2038,0.0109,0,0.000119,0.000119,0.000119
